Source	IslandID	TaxonOrig	GenusL69	SpeciesL69	SubspL69	SpeciesID	SubspID	Sex	Plumage	BodyL	WingL	TailL	BeakW	BeakH	LBeakL	UBeakL	N-UBkL	TarsusL	MToeL
Lack CAS	Wlf_Wnm	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	Black		86			20.7		22.8	15.7		
Lack CAS	Wlf_Wnm	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	Black		86			19.5		24.3	16.6		
Lack CAS	Wlf_Wnm	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	Black		88					23.1	15.1		
Lack CAS	Wlf_Wnm	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	Black		84			20.6		22.4	15.3		
Lack CAS	Wlf_Wnm	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	Black		86			21.4		23.1	15.4		
Lack CAS	Wlf_Wnm	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	Black		86			19.8		22.4	15.5		
Lack CAS	Wlf_Wnm	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	Black		87			20.2		22	14.8		
Lack CAS	Wlf_Wnm	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	Black		87			21.3		23.9	16.3		
Lack CAS	Wlf_Wnm	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	Black		86			21.5		24.2	16.6		
Lack CAS	Wlf_Wnm	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	P. black		80			19		22.1	15.2		
Lack CAS	Wlf_Wnm	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	F			82			19.3		22.4	16.1		
Lack CAS	Wlf_Wnm	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	F			80			19		22.2	15.6		
Lack CAS	Wlf_Wnm	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	F			83			19.7		23.5	16.4		
Lack CAS	Wlf_Wnm	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	F			83			19		21.9	15.1		
Lack CAS	Wlf_Wnm	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	U			80			19.1		22.5	16.5		
Lack CAS	Wlf_Wnm	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	U			82			19.7		22.9	16.5		
Lack CAS	Gnov_Twr	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	Black		84			22.1		25.3	17.7		
Lack CAS	Gnov_Twr	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	Black		85			22		24.9	17.2		
Lack CAS	Gnov_Twr	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	Black		85			21.7		23.5	16		
Lack CAS	Gnov_Twr	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	Black		87			21		23.1	15.9		
